,Twn Num,Twn Dir,Rng Num,Rng Dir,Sec,Quarter,Lib Num,API Num,Operator,Well Name,Field,Type,State,County,Photos,Thin Sec,Analysis,Latitude,Longitude,Source,Security Flag,Formation,Age,Min Depth,Max Depth,thickness
15500,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,3506.0,3626.0,120.0
15501,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,3782.0,3792.0,10.0
15502,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,3950.0,3970.0,20.0
15503,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,3980.0,4000.0,20.0
15504,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,4040.0,4080.0,40.0
15505,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,4190.0,4200.0,10.0
15506,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,4650.0,4660.0,10.0
15507,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,4680.0,4720.0,40.0
15508,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,4740.0,4750.0,10.0
15509,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,4790.0,4810.0,20.0
15510,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,4830.0,4840.0,10.0
15511,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,4860.0,4880.0,20.0
15512,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,4900.0,4910.0,10.0
15513,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,5060.0,5085.0,25.0
15514,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,5105.0,5135.0,30.0
15515,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,5276.0,5294.0,18.0
15516,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,5384.0,5394.0,10.0
15517,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,5414.0,5424.0,10.0
15518,12.0,N,95.0,W,5.0,NENE,R716,4903705092.0,MOUNTAIN FUEL SUPPLY,1 WILLIAMS,CHEROKEE RIDGE,FULL,WY,SWEETWATER,T,F,T,41.04463,-108.11087,FROM STATE RECORDS,NO SPECIAL RESTRICTIONS,WASATCH,TERTIARY,5570.0,5580.0,10.0
